Country_Name,Year,fin1_t_a_1,fin1_t_a_2,fin18_t_d_1,fin18_t_d_2,FX_OWN_TOTL_FE_ZS,FX_OWN_TOTL_MA_ZS,IC_REG_COST_PC_FE_ZS,IC_REG_COST_PC_MA_ZS,IC_REG_DURS_FE,IC_REG_DURS_MA,IC_REG_PROC_FE,IC_REG_PROC_MA,NY_GDP_MKTP_CD,SG_CRT_TSTM_WT,SG_GEN_MNST_ZS,SG_GEN_PARL_ZS,SG_IND_WORK_EQ,SG_JOB_NOPN_EQ,SG_LAW_CHMR,SG_LAW_EQRM_WK,SG_LAW_LEVE_PU,SG_LAW_NODC_HR,SG_LAW_OBHB_MR,SG_LEG_DVAW,SG_LEG_MRRP,SG_LEG_SXHR,SG_LEG_SXHR_EM,SG_MMR_LEVE_EP,SG_OWN_PRRT_MR,SH_MMR_LEVE,SH_MMR_WAGE_ZS,SL_AGR_EMPL_FE_ZS,SL_AGR_EMPL_MA_ZS,SL_EMP_MPYR_FE_ZS,SL_EMP_MPYR_MA_ZS,SL_EMP_OWAC_FE_ZS,SL_EMP_OWAC_MA_ZS,SL_EMP_SELF_FE_ZS,SL_EMP_SELF_MA_ZS,SL_EMP_TOTL_SP_FE_ZS,SL_EMP_TOTL_SP_MA_ZS,SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_EMP_WORK_FE_ZS,SL_EMP_WORK_MA_ZS,SL_FAM_WORK_FE_ZS,SL_FAM_WORK_MA_ZS,SL_IND_EMPL_FE_ZS,SL_IND_EMPL_MA_ZS,SL_SRV_EMPL_FE_ZS,SL_SRV_EMPL_MA_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_FM_ZS,SL_TLF_CACT_MA_ZS,SL_TLF_TOTL_FE_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_POP_TOTL
Turkey,2016,..,..,..,..,..,..,21.8,21.8,10,10,10,10,863721648068.806,..,3.8,14.9,0,..,..,1,..,..,..,1,..,..,1,..,..,..,..,28.5890007019043,15.3629999160767,1.36300003528595,6.00299978256226,8.91100025177002,20.2000007629395,36.2949981689453,30.6940002441406,28.0879993438721,65.2880020141602,34.9329996109009,24.6910009384156,63.7050018310547,69.3059997558594,26.0219993591309,4.49100017547607,15.9799995422363,31.6909999847412,55.4309997558594,52.9449996948242,32.5069999694824,45.0472531452934,72.1620025634766,32.2600445980126,13.5950002670288,9.52499961853027,79821724
Turkey,2017,82.2715530395508,53.157829284668,38.4455528259277,39.6886138916016,54.2938232421875,82.9945602416992,15.9,15.9,10,10,10,10,851549231502.615,1,..,14.6,0,0,0,1,1,1,0,1,1,1,1,0,1,112,67,28.201000213623,15.2969999313354,1.30099999904633,6.04199981689453,9.49699974060059,20.5919990539551,36.3330001831055,31.0669994354248,28.9209995269775,65.9049987792969,35.0329990386963,25.0249991416931,63.6669998168945,68.9329986572266,25.5359992980957,4.43300008773804,15.6719999313354,31.5739994049072,56.1269989013672,53.1290016174316,33.5719985961914,46.1819915222885,72.6949996948242,32.7604226316429,13.8520002365112,9.34000015258789,81101892
Turkey,2018,..,..,..,..,..,..,10.6,10.6,7,7,7,7,766509088837.579,..,..,17.4,0,..,..,1,..,..,..,1,..,..,1,..,..,..,..,27.8859996795654,15.1590003967285,1.31500005722046,6.04500007629395,9.55000019073486,20.5949993133545,35.976001739502,30.9599990844727,28.9589996337891,65.6070022583008,34.6610002517701,24.9149994850159,64.0240020751953,69.0400009155273,25.1110000610352,4.32000017166138,15.4899997711182,31.3610000610352,56.6240005493164,53.4799995422363,33.5200004577637,46.2007081846294,72.5530014038086,32.7193136948625,13.6079998016357,9.57400035858154,82319724
United Arab Emirates,1999,..,..,..,..,..,..,..,..,..,..,..,..,84445473110.9598,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0590000003576279,8.84899997711182,0.703000009059906,1.58800005912781,0.535000026226044,1.66700005531311,1.23800003528595,3.25500011444092,32.2849998474121,89.1780014038086,0.536000026273541,1.66700005531311,98.7620010375977,96.745002746582,0.00100000004749745,0,13.6730003356934,36.2919998168945,86.2679977416992,54.859001159668,33.1020011901855,36.326724088417,91.1230010986328,11.9632030208069,2.47000002861023,2.13499999046326,2966034
United Arab Emirates,2000,..,..,..,..,..,..,..,..,..,..,..,..,104337372362.151,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0590000003576279,8.96000003814697,0.693000018596649,1.55200004577637,0.53600001335144,1.67299997806549,1.23000001907349,3.22499990463257,32.8019981384277,89.5029983520508,0.537000013398937,1.67299997806549,98.7699966430664,96.7750015258789,0.00100000004749745,0,13.6599998474121,36.0620002746582,86.2809982299805,54.9780006408691,33.7190017700195,36.8501605163671,91.5029983520508,11.976435362422,2.71799993515015,2.18600010871887,3134062
United Arab Emirates,2001,..,..,..,..,..,..,..,..,..,..,..,..,103311640571.818,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0719999969005585,8.27299976348877,0.703000009059906,1.57299995422363,0.535000026226044,1.68299996852875,1.2389999628067,3.25500011444092,32.9280014038086,88.6679992675781,0.536000026273541,1.68299996852875,98.7610015869141,96.745002746582,0.00100000004749745,0,12.2889995574951,34.8790016174316,87.6389999389648,56.8479995727539,34.0690002441406,37.5502889287792,90.7289962768555,12.1743635521425,3.34899997711182,2.27099990844727,3302719
United Arab Emirates,2002,..,..,..,..,..,..,..,..,..,..,..,..,109816201497.617,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0860000029206276,7.65700006484985,0.712000012397766,1.58599996566772,0.53600001335144,1.69200003147125,1.24899995326996,3.27800011634827,33.273998260498,88.3600006103516,0.537000013398937,1.69200003147125,98.7509994506836,96.7220001220703,0.00100000004749745,0,11.0699996948242,33.4749984741211,88.8450012207031,58.8680000305176,34.6199989318848,38.215292559631,90.5920028686523,12.371585649533,3.88800001144409,2.46399998664856,3478777
United Arab Emirates,2003,..,..,..,..,..,..,18.8,18.8,20,19,11,10,124346358066.712,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0989999994635582,7.07999992370605,0.708999991416931,1.56599998474121,0.537000000476837,1.69900000095367,1.24600005149841,3.26600003242493,33.5970001220703,88.6129989624023,0.538000000524335,1.69900000095367,98.7539978027344,96.734001159668,0.00100000004749745,0,9.84099960327148,32.2890014648438,90.0599975585938,60.6319999694824,35.3549995422363,38.8742895180236,90.9469985961914,12.4725914561076,4.97300004959106,2.56699991226196,3711932
United Arab Emirates,2004,..,..,..,..,..,..,17.5,17.5,20,19,11,10,147824370319.946,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.109999999403954,6.56300020217896,0.708999991416931,1.557000041008,0.53600001335144,1.7039999961853,1.24600005149841,3.26200008392334,33.9720001220703,89.2939987182617,0.537000013398937,1.7039999961853,98.7539978027344,96.7379989624023,0.00100000004749745,0,8.72399997711182,30.8530006408691,91.1660003662109,62.5830001831055,36.2319984436035,39.5291240300424,91.6589965820313,12.3671677717997,6.23699998855591,2.57999992370605,4068570
United Arab Emirates,2005,..,..,..,..,..,..,15.8,15.8,20,19,11,10,180617018379.85,..,5.6,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.120999999344349,6.09899997711182,0.726999998092651,1.59599995613098,0.532999992370605,1.70799994468689,1.2610000371933,3.3050000667572,34.4900016784668,90.1760025024414,0.533999992418102,1.70799994468689,98.7389984130859,96.6949996948242,0.00100000004749745,0,7.87400007247925,29.6340007781982,92.0039978027344,64.2679977416992,37.1730003356934,40.1696563301591,92.5400009155273,12.0532912959025,7.21600008010864,2.5550000667572,4588225
United Arab Emirates,2006,..,..,..,..,..,..,13,13,20,19,11,10,222116541865.214,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.131999999284744,5.63700008392334,0.703999996185303,2.01999998092651,0.425000011920929,1.54799997806549,1.13100004196167,3.56800007820129,35.6949996948242,89.7919998168945,0.426000011968426,1.54799997806549,98.8690032958984,96.431999206543,0.00100000004749745,0,7.13500022888184,28.5009994506836,92.7330017089844,65.8629989624023,38.2929992675781,41.694429641678,91.8420028686523,11.7249607564165,6.78399991989136,2.23200011253357,5300174
United Arab Emirates,2007,..,..,..,..,..,..,13.9,13.9,19,18,10,9,257916133424.098,..,..,22.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.141000002622604,5.14799976348877,0.689999997615814,2.6010000705719,0.337000012397766,1.39999997615814,1.02999997138977,4.0019998550415,37.0509986877441,90.1869964599609,0.339000012492761,1.39999997615814,98.9700012207031,95.9980010986328,0.0020000000949949,0,6.54699993133545,27.4790000915527,93.3119964599609,67.3730010986328,39.5750007629395,43.0237870325344,91.984001159668,11.3646761054003,6.37799978256226,1.95299994945526,6168838
United Arab Emirates,2008,..,..,..,..,..,..,11.6,11.6,19,18,10,9,315474615738.598,..,8,22.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.151999995112419,4.76700019836426,0.671999990940094,3.3199999332428,0.26800000667572,1.26499998569489,0.944999992847443,4.58500003814697,38.564998626709,90.9359970092773,0.273000006563961,1.26599998574239,99.0550003051758,95.4150009155273,0.00499999988824129,0.00100000004749745,6.11899995803833,26.6529998779297,93.7289962768555,68.5800018310547,41.0019989013672,44.2466023313425,92.6669998168945,11.1374906824424,5.94299983978271,1.86699998378754,7089487
United Arab Emirates,2009,..,..,..,..,..,..,11.1,11.1,16,15,9,8,253547358747.447,1,..,22.5,0,0,..,0,1,0,1,0,..,..,0,0,1,45,100,0.151999995112419,4.66800022125244,0.735000014305115,3.3989999294281,0.256000012159348,1.07799994945526,0.999000012874603,4.47800016403198,39.8520011901855,91.5100021362305,0.264000012539328,1.07999994955025,99.0009994506836,95.5220031738281,0.00800000037997961,0.0020000000949949,6.39499998092651,27.1749992370605,93.4530029296875,68.1559982299805,42.5149993896484,45.4186101081752,93.6070022583008,11.1416445928786,6.2649998664856,2.24000000953674,7917372
United Arab Emirates,2010,..,..,..,..,..,..,12.6,12.6,16,15,9,8,289787338325.391,..,16.7,22.5,0,..,..,0,..,..,..,0,..,..,0,..,..,..,..,0.153999999165535,4.69299983978271,0.790000021457672,3.38700008392334,0.24600000679493,0.919000029563904,1.04700005054474,4.30900001525879,41.3779983520508,92.4390029907227,0.256000006571413,0.922000029589981,98.9530029296875,95.6910018920898,0.00999999977648258,0.00300000002607703,6.50400018692017,27.0470008850098,93.3420028686523,68.2610015869141,44.0289993286133,46.5708356221437,94.5419998168945,11.3967899047684,6.02299976348877,2.22499990463257,8549988
United Arab Emirates,2011,68.7762298583984,47.2084350585938,..,..,47.2084350585938,68.7762298583984,13.4,13.4,14,13,8,7,350666031313.819,1,..,17.5,0,0,..,0,1,0,1,0,..,..,0,0,1,45,100,0.153999999165535,4.73600006103516,0.836000025272369,3.31200003623962,0.237000003457069,0.782000005245209,1.08599996566772,4.09800004959106,42.4140014648438,92.4560012817383,0.249000003561377,0.786000005435199,98.9140014648438,95.9020004272461,0.0120000001043081,0.00400000018998981,6.43699979782104,26.7070007324219,93.4100036621094,68.556999206543,45.1430015563965,47.8412476307722,94.3600006103516,12.0092981350896,6.04400014877319,2.01699995994568,8946777
United Arab Emirates,2012,..,..,..,..,..,..,11,11,9,8,7,6,374590605854.323,..,18.2,17.5,0,..,..,0,..,..,..,0,..,..,0,..,..,..,..,0.150000005960464,4.70599985122681,0.883000016212463,3.23200011253357,0.228000000119209,0.666000008583069,1.125,3.90300011634827,43.4539985656738,92.431999206543,0.242000000551343,0.67100000847131,98.875,96.0970001220703,0.0140000004321337,0.00499999988824129,6.33500003814697,26.451000213623,93.5149993896484,68.8430023193359,46.2130012512207,49.040686676265,94.234001159668,12.8155081675366,5.9689998626709,1.91199994087219,9141596
United Arab Emirates,2013,..,..,..,..,..,..,11.4,11.4,9,8,7,6,390107556160.654,1,..,17.5,0,0,..,0,1,0,1,0,..,1,0,0,1,45,100,0.145999997854233,4.64799976348877,0.926999986171722,3.1340000629425,0.218999996781349,0.566999971866608,1.16199994087219,3.70700001716614,44.5690002441406,92.5390014648438,0.234999997541308,0.572999971918762,98.8379974365234,96.2929992675781,0.0160000007599592,0.00600000005215406,6.23199987411499,26.2630004882813,93.6210021972656,69.088996887207,47.2630004882813,50.1565292526642,94.2310028076172,13.7461026753282,5.69899988174438,1.7960000038147,9197910
United Arab Emirates,2014,89.760498046875,66.3240585327148,70.0483474731445,57.5747718811035,67.6806182861328,89.9819869995117,11.3,11.3,9,8,7,6,403137100068.073,..,15.4,17.5,0,..,..,0,..,..,..,0,..,..,0,..,..,..,..,0.142000004649162,4.58799982070923,0.973999977111816,3.03900003433228,0.209999993443489,0.48199999332428,1.20200002193451,3.52800011634827,45.7900009155273,92.9140014648438,0.227999992668629,0.48999999370426,98.7979965209961,96.4720001220703,0.0179999992251396,0.00800000037997961,6.16400003433228,26.2180004119873,93.693000793457,69.193000793457,48.3230018615723,51.1885358815187,94.4020004272461,14.6774748046225,5.24200010299683,1.57599997520447,9214175
United Arab Emirates,2015,..,..,..,..,..,..,11.2,11.2,9,8,7,6,358135057862.492,1,16.7,22.5,0,0,0,0,1,0,1,0,0,1,0,0,1,45,100,0.136000007390976,4.44500017166138,1.01800000667572,2.9300000667572,0.20100000500679,0.407999992370605,1.24000000953674,3.34800004959106,47.0349998474121,93.4140014648438,0.221000004559755,0.417999992147088,98.7600021362305,96.6520004272461,0.0199999995529652,0.00999999977648258,6.11600017547607,26.2749996185303,93.7480010986328,69.2789993286133,49.3959999084473,52.1549998795698,94.7099990844727,15.5004104046511,4.78000020980835,1.36800003051758,9262900
